Date,<TIME>,RUB/USD
03/13/20,00:01:00,74.922
03/13/20,00:02:00,74.882
03/13/20,00:03:00,74.973
03/13/20,00:04:00,74.9605
03/13/20,00:05:00,74.893
03/13/20,00:09:00,74.969
03/13/20,00:10:00,74.9765
03/13/20,00:11:00,74.9637
03/13/20,00:12:00,74.976
03/13/20,00:15:00,75.0105
03/13/20,00:16:00,75.04
03/13/20,00:17:00,75.0278
03/13/20,00:20:00,75.0344
03/13/20,00:21:00,75.0112
03/13/20,00:22:00,74.9402
03/13/20,00:23:00,74.9178
03/13/20,00:24:00,74.9079
03/13/20,00:25:00,74.9047
03/13/20,00:26:00,74.9032
03/13/20,00:27:00,74.9017
03/13/20,00:28:00,74.9011
03/13/20,00:29:00,74.8909
03/13/20,00:30:00,74.9014
03/13/20,00:31:00,74.9065
03/13/20,00:33:00,74.8973
03/13/20,00:34:00,74.8952
03/13/20,00:35:00,74.895
03/13/20,00:37:00,74.8951
03/13/20,00:40:00,74.8618
03/13/20,00:41:00,74.8961
03/13/20,00:42:00,74.8926
03/13/20,00:43:00,74.8777
03/13/20,00:44:00,74.8783
03/13/20,00:45:00,74.8768
03/13/20,00:46:00,74.8761
03/13/20,00:47:00,74.876
03/13/20,00:48:00,74.8761
03/13/20,00:49:00,74.875
03/13/20,00:50:00,74.8754
03/13/20,00:51:00,74.8747
03/13/20,00:52:00,74.8912
03/13/20,00:54:00,74.8905
03/13/20,00:55:00,74.8905
03/13/20,00:56:00,74.8826
03/13/20,00:57:00,74.8826
03/13/20,00:58:00,74.8905
03/13/20,00:59:00,74.8904
03/13/20,01:00:00,74.8907
03/13/20,01:01:00,74.8791
03/13/20,01:02:00,74.8785
03/13/20,01:03:00,74.8802
03/13/20,01:04:00,74.8911
03/13/20,01:05:00,74.8837
03/13/20,01:06:00,74.8759
03/13/20,01:07:00,74.8738
03/13/20,01:08:00,74.8737
03/13/20,01:09:00,74.8759
03/13/20,01:10:00,74.8741
03/13/20,01:11:00,74.8744
03/13/20,01:12:00,74.8745
03/13/20,01:14:00,74.8748
03/13/20,01:15:00,74.8593
03/13/20,01:16:00,74.8611
03/13/20,01:17:00,74.8614
03/13/20,01:18:00,74.867
03/13/20,01:20:00,74.8797
03/13/20,01:21:00,74.8682
03/13/20,01:22:00,74.8851
03/13/20,01:24:00,74.8469
03/13/20,01:25:00,74.8748
03/13/20,01:26:00,74.8733
03/13/20,01:27:00,74.8851
03/13/20,01:28:00,74.8852
03/13/20,01:29:00,74.8741
03/13/20,01:30:00,74.8858
03/13/20,01:31:00,74.8848
03/13/20,01:32:00,74.8926
03/13/20,01:34:00,74.8925
03/13/20,01:35:00,74.8846
03/13/20,01:36:00,74.8847
03/13/20,01:37:00,74.8897
03/13/20,01:38:00,74.8889
03/13/20,01:39:00,74.8886
03/13/20,01:40:00,74.8821
03/13/20,01:41:00,74.8812
03/13/20,01:42:00,74.891
03/13/20,01:43:00,74.8906
03/13/20,01:44:00,74.8907
03/13/20,01:45:00,74.8824
03/13/20,01:46:00,74.8841
03/13/20,01:47:00,74.893
03/13/20,01:48:00,74.8929
03/13/20,01:49:00,74.8852
03/13/20,01:50:00,74.9172
03/13/20,01:51:00,74.8947
03/13/20,01:52:00,74.8958
03/13/20,01:53:00,74.8947
03/13/20,01:54:00,74.888
03/13/20,01:55:00,74.8871
03/13/20,01:56:00,74.888
03/13/20,01:57:00,74.8813
03/13/20,01:58:00,74.8806
03/13/20,01:59:00,74.8869
03/13/20,02:00:00,74.8864
03/13/20,02:01:00,74.8871
03/13/20,02:02:00,74.8799
03/13/20,02:03:00,74.9374
03/13/20,02:04:00,74.9458
03/13/20,02:05:00,74.9347
03/13/20,02:06:00,74.9352
03/13/20,02:07:00,74.9363
03/13/20,02:08:00,74.9418
03/13/20,02:09:00,74.9319
03/13/20,02:10:00,74.9249
03/13/20,02:11:00,74.9213
03/13/20,02:12:00,74.9183
03/13/20,02:13:00,74.918
03/13/20,02:14:00,74.9628
03/13/20,02:15:00,74.9624
03/13/20,02:16:00,74.9589
03/13/20,02:17:00,74.9595
03/13/20,02:18:00,74.964
03/13/20,02:19:00,74.9652
03/13/20,02:20:00,74.9645
03/13/20,02:21:00,74.964
03/13/20,02:22:00,74.9616
03/13/20,02:23:00,74.9622
03/13/20,02:24:00,74.935
03/13/20,02:25:00,74.9213
03/13/20,02:26:00,74.9138
03/13/20,02:27:00,74.9096
03/13/20,02:29:00,74.9104
03/13/20,02:30:00,74.9089
03/13/20,02:31:00,74.909
03/13/20,02:32:00,74.9103
03/13/20,02:33:00,74.9101
03/13/20,02:34:00,74.9096
03/13/20,02:35:00,74.9068
03/13/20,02:36:00,74.9068
03/13/20,02:37:00,74.9077
03/13/20,02:38:00,74.9073
03/13/20,02:39:00,74.9201
03/13/20,02:40:00,74.9056
03/13/20,02:41:00,74.9067
03/13/20,02:42:00,74.9094
03/13/20,02:43:00,74.9159
03/13/20,02:44:00,74.9131
03/13/20,02:45:00,74.9109
03/13/20,02:46:00,74.9108
03/13/20,02:47:00,74.911
03/13/20,02:48:00,74.9106
03/13/20,02:49:00,74.911
03/13/20,02:50:00,74.9097
03/13/20,02:51:00,74.9098
03/13/20,02:52:00,74.9138
03/13/20,02:53:00,74.9115
03/13/20,02:54:00,74.9103
03/13/20,02:55:00,74.9103
03/13/20,02:56:00,74.9922
03/13/20,02:57:00,74.9896
03/13/20,02:58:00,74.983
03/13/20,02:59:00,74.9831
03/13/20,03:01:00,74.9811
03/13/20,03:02:00,74.9828
03/13/20,03:03:00,74.9829
03/13/20,03:04:00,74.9828
03/13/20,03:05:00,74.9825
03/13/20,03:06:00,74.9824
03/13/20,03:07:00,74.9486
03/13/20,03:08:00,74.942
03/13/20,03:09:00,74.9396
03/13/20,03:10:00,74.943
03/13/20,03:11:00,74.9433
03/13/20,03:12:00,74.947
03/13/20,03:13:00,74.9493
03/13/20,03:14:00,74.9513
03/13/20,03:15:00,74.9451
03/13/20,03:16:00,74.9423
03/13/20,03:17:00,74.948
03/13/20,03:18:00,74.9479
03/13/20,03:19:00,74.9478
03/13/20,03:20:00,74.9425
03/13/20,03:21:00,74.9417
03/13/20,03:22:00,74.9466
03/13/20,03:23:00,74.9458
03/13/20,03:24:00,74.9332
03/13/20,03:25:00,74.9321
03/13/20,03:26:00,74.9146
03/13/20,03:27:00,74.9168
03/13/20,03:28:00,74.9514
