<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDKZT,D,02/16/20,000000,376.4600000,376.4600000,376.4600000,376.4600000,3
USDKZT,D,02/17/20,000000,376.3600000,376.9600000,376.1600000,376.7600000,37
USDKZT,D,02/18/20,000000,376.7600000,377.4600000,376.4600000,377.4100000,77
USDKZT,D,02/19/20,000000,377.4100000,377.8600000,375.6700000,376.6100000,57
USDKZT,D,02/20/20,000000,376.6100000,376.8600000,374.8700000,375.8100000,79
USDKZT,D,02/21/20,000000,375.8100000,376.7600000,375.4600000,376.4600000,73
USDKZT,D,02/23/20,000000,376.4600000,376.4600000,376.4600000,376.4600000,5
USDKZT,D,02/24/20,000000,376.4600000,376.8600000,375.4200000,376.3600000,115
USDKZT,D,02/25/20,000000,376.3600000,377.5600000,376.2100000,377.5100000,194
USDKZT,D,02/26/20,000000,377.5100000,378.6600000,377.3600000,378.5600000,71
USDKZT,D,02/27/20,000000,378.5600000,379.8600000,378.5600000,379.7600000,58
USDKZT,D,02/28/20,000000,380.1600000,382.1600000,380.1600000,381.8600000,90
USDKZT,D,03/01/20,000000,381.8600000,381.8600000,381.8600000,381.8600000,1
USDKZT,D,03/02/20,000000,381.4600000,381.6100000,380.6600000,381.5100000,58
USDKZT,D,03/03/20,000000,381.5100000,381.5100000,379.3600000,379.3600000,70
USDKZT,D,03/04/20,000000,379.6600000,379.7600000,378.7300000,379.6600000,63
USDKZT,D,03/05/20,000000,379.6600000,380.9100000,379.6600000,380.8600000,35
USDKZT,D,03/06/20,000000,381.3600000,383.3600000,381.3600000,382.9600000,45
USDKZT,D,03/08/20,000000,382.9600000,382.9600000,382.9600000,382.9600000,1
USDKZT,D,03/09/20,000000,382.9600000,385.8600000,382.9600000,385.8600000,7
USDKZT,D,03/10/20,000000,385.9600000,395.9700000,385.8600000,394.9700000,33
USDKZT,D,03/11/20,000000,394.9700000,395.7700000,393.9700000,395.4700000,23
USDKZT,D,03/12/20,000000,395.4700000,400.4700000,395.4700000,399.9700000,59
USDKZT,D,03/13/20,000000,399.9700000,405.7700000,399.9700000,405.6700000,28
